Category,Quote Number,Question,Answer
Investment Strategies,1,"Mr. Buffett, what is your number one rule for investing?","Rule No. 1 is never lose money. Rule No. 2 is never forget Rule No. 1."
Investment Strategies,2,"How do you explain the long-term benefits of investing to beginners?","Someone's sitting in the shade today because someone planted a tree a long time ago."
Investment Strategies,3,"What timeframe should investors consider when buying stocks?","If you aren't willing to own a stock for 10 years, don't even think about owning it for 10 minutes."
Investment Strategies,4,"What's your approach to stock market volatility?","I never attempt to make money on the stock market. I buy on the assumption that they could close the market the next day and not reopen it for five years."
Investment Strategies,5,"How long do you typically hold onto your investments?","Our favourite holding period is forever."
Investment Strategies,6,"When evaluating industries for investment, what factors matter most?","The key to investing is not assessing how much an industry is going to affect society, or how much it will grow, but rather determining the competitive advantage of any given company and, above all, the durability of that advantage."
Investment Strategies,7,"What should investors do when they realize they've made a poor investment?","The most important thing to do if you find yourself in a hole is to stop digging."
Investment Strategies,8,"How do you distinguish between price and value in investing?","Price is what you pay, value is what you get."
Investment Strategies,9,"What three words are most crucial to successful investing?","The three most important words in investing are 'margin of safety.'"
Investment Strategies,10,"Is it better to buy great companies at fair prices or fair companies at great prices?","It's far better to buy a wonderful company at a fair price, than a fair company at a wonderful price."
Investment Strategies,11,"What's the primary source of investment risk?","Risk comes from not knowing what you are doing."
Investment Strategies,12,"How should long-term investors measure risk in their portfolios?","It is a terrible mistake for investors with long-term horizons — among them pension funds, college endowments, and savings-minded individuals — to measure their investment 'risk' by their portfolio's ratio of bonds to stocks."
Investment Strategies,13,"How important are annual performance metrics for investors?","Do not take yearly results too seriously. Instead, focus on four or five-year averages."
Investment Strategies,14,"What's your most fundamental rule for choosing investments?","Never invest in a business you cannot understand."
Investment Strategies,15,"What's your view on holding cash as a long-term investment strategy?","Today people who hold cash equivalents feel comfortable. They shouldn't. They have opted for a terrible long-term asset, one that pays virtually nothing and is certain to depreciate in value."
Investment Strategies,16,"How do you balance risk-taking with protecting your investments?","We never want to count on the kindness of strangers in order to meet tomorrow's obligations. When forced to choose, I will not trade even a night's sleep for the chance of extra profits."
Investment Strategies,17,"Should investors wait for the perfect opportunity or act on good ones that arise?","Don't pass up something that's attractive today because you think you will find something better tomorrow."
Investment Strategies,18,"Why are actively managed funds often a poor choice for individual investors?","When trillions of dollars are managed by Wall Streeters charging high fees, it will usually be the managers who reap outsized profits, not the clients."
Investment Strategies,19,"How should investors respond to rare market opportunities?","Opportunities come infrequently. When it rains gold, put out the bucket, not the thimble"
Investment Strategies,20,"When is the best time to invest in the market?","The best chance to deploy capital is when things are going down."
Investment Strategies,21,"What's your perspective on Wall Street advisors?","Wall Street is the only place that people ride to in a Rolls Royce to get advice from those who take the subway."
