,Question,Answer,Buffett_statement
0, Have you ever bought a company where the numbers told you not to? How much is quantitative and how much is qualitative?,"The best buys have been when the numbers almost tell you not to. Because then you feel so strongly about the product. And not just the fact you are getting a used cigar butt cheap. Then it is compelling. I owned a windmill company at one time. Windmills are cigar butts, believe me. I bought it very cheap, I bought it at a third of working capital. And we made money out of it, but there is no repetitive money to be made on it. There is a one-time profit in something like that. And it is just not the thing to be doing. I went through that phase. I bought streetcar companies and all kinds of things. In terms of the qualitative, I probably understand the qualitative the moment I get the phone call. Almost every business we have bought has taken five or ten minutes in terms of analysis. We bought two businesses this year.General Re is a $18 billion deal. I have never been to their home office. I hope it is there. (Laughter) “There could be a few guys there saying what numbers should we send Buffett this month?” I could see them going once a month and saying we have $20 billion in the bank instead of $18 billion. I have never been there.Before I bought Executive Jet, which is fractional ownership of jets, before I bought it, I had never been there. I bought my family a quarter interest in the program three years earlier. And I have seen the service and it seems to develop well. And I got the numbers. But if you don’t know enough to know about the business instantly, you won’t know enough in a month or in two months. You have to have sort of the background of understanding and knowing what you do or don’t understand. That is the key. It is defining your circle of competence.Everybody has got a different circle of competence. The important thing is not how big the circle is, the important thing is the size of the circle; the important thing is staying inside the circle. And if that circle only has 30 companies in it out of 1000s on the big board, as long as you know which 30 they are, you will be OK. And you should know those businesses well enough so you don’t need to read lots of work. Now I did a lot of work in the earlier years just getting familiar with businesses and the way I would do that is use what Phil Fisher would call, the “Scuttlebutt Approach.” I would go out and talk to customers, suppliers, and maybe ex-employees in some cases. Everybody. Everytime I was interested in an industry, say it was coal, I would go around and see every coal company. I would ask every CEO, “If you could only buy stock in one coal company that was not your own, which one would it be and why? You piece those things together, you learn about the business after awhile.Funny, you get very similar answers as long as you ask about competitors. If you had a silver bullet and you could put it through the head of one competitor, which competitor and why? You will find who the best guy is in the industry. So there are a lot of things you can learn about a business. I have done that in the past on the business I felt I could understand so I don’t have to do that anymore. The nice thing about investing is that you don’t have to learn anything new. You can do it if you want to, but if you learn Wrigley’s chewing gum forty years ago, you still understand Wrigley’s chewing gum. There are not a lot of great insights to get of the sort as you go along. So you do get a database in your head.I had a guy, Frank Rooney, who ran Melville for many years; his father-in-law died and had owned H.H. Brown, a shoe company. And he put it up with Goldman Sachs. But he was playing golf with a friend of mine here in Florida and he mentioned it to this friend, so my friend said “Why don’t you call Warren?” He called me after the match and in five minutes I basically had a deal.But I knew Frank, and I knew the business. I sort of knew the basic economics of the shoe business, so I could buy it. Quantitatively, I have to decide what the price is. But, you know, that is either yes or no. I don’t fool a lot around with negotiations. If they name a price that makes sense to me, I buy it. If they don’t, I was happy the day before, so I will be happy the day after without owning it.",1
1, What is it that really piques your interest in a stock? What tells you that it could be interesting?,"We're so limited now because we can only go into very big companies. Charlie and I are probably familiar with every company in the United States--in a general way--that we can have the kind of position we would need to have to make a difference in Berkshire Hathaway's performance. We look for the ones where we think we know what they're going to look like in 10 years. If the price gets attractive and we know a little about the management, and we're quite sure--within a range--what they're going to look like in 10 years, we're in our area. We buy them when the prices are right, like Coca-Cola was some years back.",1
2, What is your investment process?,"We have a lot of cash because we don’t like any of those fields at the moment. Trying to prioritize among things we’re unlikely to do is pretty fruitless.---------------------------------------------------Q - How do you get better at valuing companies?. Very very good question. I started out not knowing anything about valuing companies. Ben Graham taught me a way to value certain type of business, but the selection of available companies dried up. Charlie taught me about durable competitive advantage. Not how big circle of competence is, but knowing where the edges are is most important. Think about businesses in your own home town. Ask questions about the businesses. Which do you want to buy into, which are hard to compete with, talk about businesses with people. What is working, what is not? You have to ask. You would be surprised at how many companies I know nothing about. The goal is to find companies that will be around for 20 years and offer a margin of safety. You have to recognize your limitations to be successful in this business. 6-7yrs ago I looked at Korean stocks, and I could see a number of businesses that met margin of safety. I bought 20 and diversified. Obviously if you want to get good at something which is competitive, you have to think about it and practice a lot. You have to keep learning because world keeps changing and competitors keep learning. You have to go to bed wiser than you got up. As you try to master what you are trying to do – people who do that almost never fail utterly. Very few have ever failed with that approach. You may rise slowly, but you are sure to rise. When did you start valuing businesses?. I never took a business class, except accounting. When I was a boy, there was a man who came to the club every day at 10:30am. I asked my dad about him – he had such a good life! My Dad said, “He gathers up and renders dead horses.” I learned from that. Many businesses are sold under distress. Life is hard to get near top, and hard to hold position once attained. I think you could predict that Kiewits would win, they cared more. I would not have bet on anyone else. Half Dutch half German – and that is coming from me, I’m named Munger. I was automatically doing it – what was working and what wasn’t. If you have that temperament, you will gradually learn. If you don’t have that temperament, I can’t help you.  We have a lot of cash because we don’t like any of those fields at the moment. Trying to prioritize among things we’re unlikely to do is pretty fruitless.---------------------------------------------------Q - How do you get better at valuing companies?. Very very good question. I started out not knowing anything about valuing companies. Ben Graham taught me a way to value certain type of business, but the selection of available companies dried up. Charlie taught me about durable competitive advantage. Not how big circle of competence is, but knowing where the edges are is most important. Think about businesses in your own home town. Ask questions about the businesses. Which do you want to buy into, which are hard to compete with, talk about businesses with people. What is working, what is not? You have to ask. You would be surprised at how many companies I know nothing about. The goal is to find companies that will be around for 20 years and offer a margin of safety. You have to recognize your limitations to be successful in this business. 6-7yrs ago I looked at Korean stocks, and I could see a number of businesses that met margin of safety. I bought 20 and diversified. Obviously if you want to get good at something which is competitive, you have to think about it and practice a lot. You have to keep learning because world keeps changing and competitors keep learning. You have to go to bed wiser than you got up. As you try to master what you are trying to do – people who do that almost never fail utterly. Very few have ever failed with that approach. You may rise slowly, but you are sure to rise. When did you start valuing businesses?. I never took a business class, except accounting. When I was a boy, there was a man who came to the club every day at 10:30am. I asked my dad about him – he had such a good life! My Dad said, “He gathers up and renders dead horses.” I learned from that. Many businesses are sold under distress. Life is hard to get near top, and hard to hold position once attained. I think you could predict that Kiewits would win, they cared more. I would not have bet on anyone else. Half Dutch half German – and that is coming from me, I’m named Munger. I was automatically doing it – what was working and what wasn’t. If you have that temperament, you will gradually learn. If you don’t have that temperament, I can’t help you. We have a lot of cash because we don’t like any of those fields at the moment. Trying to prioritize among things we’re unlikely to do is pretty fruitless.---------------------------------------------------Q - How do you get better at valuing companies?. Very very good question. I started out not knowing anything about valuing companies. Ben Graham taught me a way to value certain type of business, but the selection of available companies dried up. Charlie taught me about durable competitive advantage. Not how big circle of competence is, but knowing where the edges are is most important. Think about businesses in your own home town. Ask questions about the businesses. Which do you want to buy into, which are hard to compete with, talk about businesses with people. What is working, what is not? You have to ask. You would be surprised at how many companies I know nothing about. The goal is to find companies that will be around for 20 years and offer a margin of safety. You have to recognize your limitations to be successful in this business. 6-7yrs ago I looked at Korean stocks, and I could see a number of businesses that met margin of safety. I bought 20 and diversified. Obviously if you want to get good at something which is competitive, you have to think about it and practice a lot. You have to keep learning because world keeps changing and competitors keep learning. You have to go to bed wiser than you got up. As you try to master what you are trying to do – people who do that almost never fail utterly. Very few have ever failed with that approach. You may rise slowly, but you are sure to rise. When did you start valuing businesses?. I never took a business class, except accounting. When I was a boy, there was a man who came to the club every day at 10:30am. I asked my dad about him – he had such a good life! My Dad said, “He gathers up and renders dead horses.” I learned from that. Many businesses are sold under distress. Life is hard to get near top, and hard to hold position once attained. I think you could predict that Kiewits would win, they cared more. I would not have bet on anyone else. Half Dutch half German – and that is coming from me, I’m named Munger. I was automatically doing it – what was working and what wasn’t. If you have that temperament, you will gradually learn. If you don’t have that temperament, I can’t help you.W  We have a lot of cash because we don’t like any of those fields at the moment. Trying to prioritize among things we’re unlikely to do is pretty fruitless.---------------------------------------------------Q - How do you get better at valuing companies?. Very very good question. I started out not knowing anything about valuing companies. Ben Graham taught me a way to value certain type of business, but the selection of available companies dried up. Charlie taught me about durable competitive advantage. Not how big circle of competence is, but knowing where the edges are is most important. Think about businesses in your own home town. Ask questions about the businesses. Which do you want to buy into, which are hard to compete with, talk about businesses with people. What is working, what is not? You have to ask. You would be surprised at how many companies I know nothing about. The goal is to find companies that will be around for 20 years and offer a margin of safety. You have to recognize your limitations to be successful in this business. 6-7yrs ago I looked at Korean stocks, and I could see a number of businesses that met margin of safety. I bought 20 and diversified. Obviously if you want to get good at something which is competitive, you have to think about it and practice a lot. You have to keep learning because world keeps changing and competitors keep learning. You have to go to bed wiser than you got up. As you try to master what you are trying to do – people who do that almost never fail utterly. Very few have ever failed with that approach. You may rise slowly, but you are sure to rise. When did you start valuing businesses?. I never took a business class, except accounting. When I was a boy, there was a man who came to the club every day at 10:30am. I asked my dad about him – he had such a good life! My Dad said, “He gathers up and renders dead horses.” I learned from that. Many businesses are sold under distress. Life is hard to get near top, and hard to hold position once attained. I think you could predict that Kiewits would win, they cared more. I would not have bet on anyone else. Half Dutch half German – and that is coming from me, I’m named Munger. I was automatically doing it – what was working and what wasn’t. If you have that temperament, you will gradually learn. If you don’t have that temperament, I can’t help you.W",0
3, What is your investment process?,"  In the past some things were cheap enough WB could decide in a day (this was somewhat a function of a time period where companies would sell at 2-3x earnings)*   Decisions should be obvious to onlookers. You should be able to explain why you bought something in a paragraph.*   “I don’t do DCF” (WB says he does a rough approximation in his mind)*   Finding ideas is a function of cumulative knowledge over time. Something just comes along - usually an event takes place, like a good management team screwing up that creates the opportunity (WB seems to imply here that his reading isn’t specifically targeted at finding ideas, but rather that ideas jump out at him as a natural consequence of vociferous reading)*   You must be patient.good ideas tend to be clustered together, and may not come at even time intervals.when you don’t find anything for a while it can be irritating*   WB isn’t bothered by missing something outside his circle of competence - Missing things inside the circle is nerve racking.examples include WMT, FNM--------------------------------------------------When asked about the relative attractiveness of bonds, arbitrage, etc., Buffett replied:Charlie and I are competent to make judgments on certain things, and not other things. We try to focus on what we can understand, which is a reasonable amount.In the summer to mid-fall of 2002, when junk bonds became very attractive, we bought a lot. But we did not make a big decision to buy junk bonds – it’s just that a lot of them got really cheap.We have an open mind – whatever we see on a given day that overcomes our resistance to take risk, we’ll do. Charlie and I do not have a checklist to prioritize categories. I hope he gets a good idea, he hopes I have one and if we find one, then we move, hopefully in a big way. It has to be big.We’re recently made big investments in currencies and viatical settlements. We don’t do arbitrage any more because we’re too big.. Avoiding the dumb things is the most important. Learn more, know limitations, avoid the dumb things. Charlie often thought about his client’s business. He was incapable of thinking about a business without noticing the fundamental economics. I had a client who sold a Caterpillar dealership business for a crazy price to an oil business. The oil business had consultants and a concept and a strategy!",1
4, What's your acquisition criteria? What has made you successful in this area where most others have failed?,"Our success has come from the lack of oversight we’ve provided, and our success will continue to be from a lack of oversight. (Laughter)But if you’re going to provide minimal oversight, you have to buy carefully. It’s a different model from GE’s. GE’s works – it’s just very different from ours.  Our success has come from the lack of oversight we’ve provided, and our success will continue to be from a lack of oversight. (Laughter)But if you’re going to provide minimal oversight, you have to buy carefully. It’s a different model from GE’s. GE’s works – it’s just very different from ours.. The interesting thing about it to me is the mindset. With all these “helpers” running around, they talk about doing deals. We talk about welcoming partners. The guy doing deals, he wants to do a deal and then unwind it in the near future. It’s totally opposite for us. We like to build lasting relationships. I think our system will work better in the long term than flipping deals.I think there are so many of them helpers that they’ll get in each other’s way. I don’t think they’ll make enough money to meet their expectations, by flipping, flipping, flipping.  The interesting thing about it to me is the mindset. With all these “helpers” running around, they talk about doing deals. We talk about welcoming partners. The guy doing deals, he wants to do a deal and then unwind it in the near future. It’s totally opposite for us. We like to build lasting relationships. I think our system will work better in the long term than flipping deals.I think there are so many of them helpers that they’ll get in each other’s way. I don’t think they’ll make enough money to meet their expectations, by flipping, flipping, flipping.. Warren talked to guy at an investment bank and asked how they made their money. He said, “Off the top, off the bottom, off both sides and in the middle.” Laughter  Warren talked to guy at an investment bank and asked how they made their money. He said, “Off the top, off the bottom, off both sides and in the middle.” Laughter. In the 1930s, there was a stretch where you could borrow more against the real estate than you could sell it for. I think that’s what’s going on in today’s private- equity world.  In the 1930s, there was a stretch where you could borrow more against the real estate than you could sell it for. I think that’s what’s going on in today’s private- equity world.. Our success has come from the lack of oversight we’ve provided, and our success will continue to be from a lack of oversight. (Laughter)But if you’re going to provide minimal oversight, you have to buy carefully. It’s a different model from GE’s. GE’s works – it’s just very different from ours.  Our success has come from the lack of oversight we’ve provided, and our success will continue to be from a lack of oversight. (Laughter)But if you’re going to provide minimal oversight, you have to buy carefully. It’s a different model from GE’s. GE’s works – it’s just very different from ours.. The interesting thing about it to me is the mindset. With all these “helpers” running around, they talk about doing deals. We talk about welcoming partners. The guy doing deals, he wants to do a deal and then unwind it in the near future. It’s totally opposite for us. We like to build lasting relationships. I think our system will work better in the long term than flipping deals.I think there are so many of them helpers that they’ll get in each other’s way. I don’t think they’ll make enough money to meet their expectations, by flipping, flipping, flipping.  The interesting thing about it to me is the mindset. With all these “helpers” running around, they talk about doing deals. We talk about welcoming partners. The guy doing deals, he wants to do a deal and then unwind it in the near future. It’s totally opposite for us. We like to build lasting relationships. I think our system will work better in the long term than flipping deals.I think there are so many of them helpers that they’ll get in each other’s way. I don’t think they’ll make enough money to meet their expectations, by flipping, flipping, flipping.. Warren talked to guy at an investment bank and asked how they made their money. He said, “Off the top, off the bottom, off both sides and in the middle.” Laughter  Warren talked to guy at an investment bank and asked how they made their money. He said, “Off the top, off the bottom, off both sides and in the middle.” Laughter. In the 1930s, there was a stretch where you could borrow more against the real estate than you could sell it for. I think that’s what’s going on in today’s private- equity world.  In the 1930s, there was a stretch where you could borrow more against the real estate than you could sell it for. I think that’s what’s going on in today’s private- equity world.. Our success has come from the lack of oversight we’ve provided, and our success will continue to be from a lack of oversight. (Laughter)But if you’re going to provide minimal oversight, you have to buy carefully. It’s a different model from GE’s. GE’s works – it’s just very different from ours.  Our success has come from the lack of oversight we’ve provided, and our success will continue to be from a lack of oversight. (Laughter)But if you’re going to provide minimal oversight, you have to buy carefully. It’s a different model from GE’s. GE’s works – it’s just very different from ours.. The interesting thing about it to me is the mindset. With all these “helpers” running around, they talk about doing deals. We talk about welcoming partners. The guy doing deals, he wants to do a deal and then unwind it in the near future. It’s totally opposite for us. We like to build lasting relationships. I think our system will work better in the long term than flipping deals.I think there are so many of them helpers that they’ll get in each other’s way. I don’t think they’ll make enough money to meet their expectations, by flipping, flipping, flipping.  The interesting thing about it to me is the mindset. With all these “helpers” running around, they talk about doing deals. We talk about welcoming partners. The guy doing deals, he wants to do a deal and then unwind it in the near future. It’s totally opposite for us. We like to build lasting relationships. I think our system will work better in the long term than flipping deals.I think there are so many of them helpers that they’ll get in each other’s way. I don’t think they’ll make enough money to meet their expectations, by flipping, flipping, flipping.. Warren talked to guy at an investment bank and asked how they made their money. He said, “Off the top, off the bottom, off both sides and in the middle.” Laughter  Warren talked to guy at an investment bank and asked how they made their money. He said, “Off the top, off the bottom, off both sides and in the middle.” Laughter. In the 1930s, there was a stretch where you could borrow more against the real estate than you could sell it for. I think that’s what’s going on in today’s private- equity world.  In the 1930s, there was a stretch where you could borrow more against the real estate than you could sell it for. I think that’s what’s going on in today’s private- equity world.",0
5, What's your acquisition criteria? What has made you successful in this area where most others have failed?,"We look for people who have a passion for their business. We frequently buy businesses the owners still manage, where they are monetizing a lifetime of work. They often don’t want to sell but need to for estate planning or other reasons.They need to have a passion because we don’t have any employment contracts – because we don’t think they work – we don’t stand over them with whips, and they’re already rich. We just try not to kill or dampen their love for their business.We also look for three things: intelligence, energy and integrity. If you don’t have the latter, then you should hope they don’t have the first two either. If someone doesn’t have integrity, then you want them to be dumb and lazy. (Laughter)We look them in the eyes and ask, “Do they love the business or the money?” If someone wants to cash out, then we have a problem because we only have 16 people at Berkshire’s headquarters and can’t run it ourselves. The interesting thing is how well it our acquisition strategy/process has worked over a great many decades, and how few people copy it. (Laughter)We criticize it acquisitions, but then we do it. But we have different motivations.We’ve been reasonably successful in having people run their businesses with the same passion as before we bought them.Gillette, the oil companies, etc. all went out and bought a lot of businesses and tried to run them themselves. We’re under no illusions that we can do that. We think that having lots of Executive Vice Presidents, directives from headquarters, centralized Human Resources etc. can destroy the incentives of the people who’ve already gotten rich, and we’re counting on them making us rich.The successor to me will come from Berkshire, knows our system, has seen that it works, and will be surrounded by people who believe in it. So it’s not going to be so hard to keep this train going down the tracks at 90 miles per hour.We are a conglomerate – and we hope to become more of a conglomerate.We’re successful because of simplicity itself: We let people who play the game very well keep doing it. Our successor won’t change this. The big worry is that the culture is tampered with and there’s oversteering. But our board and owners won’t allow this.---------------------------------------------------BRK2006 - Update on acquistionsRussell is in process – it’ll probably be a couple of months before completion. I described the Business Wire acquisition in the annual report. I got a letter from Cathy Baron Tamraz, CEO of Business Wire. Regarding the purchase of GE’s Medical Protective Corporation, I knew GE CEO Jeff Immelt wanted to shed some insurance assets and I suggested we’d be interested in that part of it, so we talked and made a deal.One thing we haven’t done is participate in auctions. I get books occasionally and the projections are just plain silly. Maybe that’s why they don’t sign them. I’d love to make a bet with the investment bankers about whether the companies achieve the earnings in the pitch books.The calls we want to get are from people who care about their business, who for tax or family-ownership reasons want to sell to us. They’re looking to change the ownership structure, not the operating personality and culture of the company they care deeply about.The owners of Iscar are keeping 19% I think he meant 20%. They think Berkshire is the best place for their business and their people, and where they’ll have the most opportunity to grow. I don’t know how many stories you read about a $4 billion deal that doesn’t say anything about an investment banker on either side.By charging fees, fees, fees. LaughterA shareholder asked if he’d be interested in buying Oriental Trading Company, a direct marketer of novelties and gift items, which is based in Omaha. I looked at Oriental Trading a few years ago. I didn’t know it was for sale again. I don’t know, but I suspect some private group bought it and is now selling it. We see that all the time. They invariably try to sell it quickly to a strategic buyer, which is another way of saying someone who pays too much. Anytime someone calls me and says we’d be a logical strategic buyer, I hang up the phone faster than Charlie would.The idea that we’re going to find a business to buy from a guy who’s been thinking from the moment he bought only about how he’s going to spruce it up and get out, is very low. It’s Fund A selling to Fund B to Fund C. The irony is that the same pension fund may be invested in all three funds, so they’re just paying all of the money managers to flip it to one another.",1
6, What's your acquisition strategy? How do you get deals?,I can’t remember one,0
7, What's your acquisition strategy? How do you get deals?,"We'd like to keep buying businesses like the eight we bought last year. Our first preference has always been to buy outstanding operating businesses outright. We've made money in stocks, especially in the 1970s, but the climate is not so favorable now.There are enough businesses that meet our criteria to do two acquisitions per year on average. What we'd really like to do is a $10-15 billion acquisition, but it's hard to find one that's not being auctioned, which we don't do.We haven't had much luck buying businesses overseas, but that's because our phone hasn't rung. We're not on the radar screen, but we're hoping this will change.Our best source of deals is word of mouth, generally in industries we're invested in. Sort of like NetJets, where 70% of our new customers are referred by current customers.---------------------------------------------------It’s important to note that in this world where many businesses get dressed up and auctioned off, we occasionally hear from people who consider their business too important to auction off. We don’t participate in auctions. I can’t recall buying a business at auction, can you Charlie?People who won’t put their business up for auction like a piece of meat and care about the home in which their business resides are the type of people we want to be partners with. It says something very important about how much they care about their business, their customers and their employees. We’ve acquired a number of businesses like this in the past couple of years and the crowning one is Iscar. I’m going to Israel in September to see if there are any more girls like Iscar there.Tilson Notes - I think the Iscar acquisition is fantastic news for three reasons:*   1. It’s big – at $4 billion, it’s the 3rd-largest deal Buffett has ever done);*   2. It appears to be an awesome business. According to an article in an Israeli newspaper, Iscar was valued at $800 million in 1997, so it’s increased in value by more than 6x in nine years (that’s 22.6% compounded annually); and*   3. It’s the first business Buffett’s ever bought that is headquartered overseas. This is a huge step forward in expanding his hunting ground to the entire world for the “elephants” he’s seeking. Having lived and traveled all over the world, I know that there are many fabulous, privately held businesses like Iscar, and Berkshire is the perfect buyer for many of them.",1
8, Deal Flow?,"The general assumption is that it must be easy to sit behind a desk and people will bring in one good opportunity after another -- this was the attitude in venture capital until a few years ago. This was not the case at all for us -- we scrounged around for companies to buy. For 20 years, we didn't buy more than one or two per year.  The general assumption is that it must be easy to sit behind a desk and people will bring in one good opportunity after another -- this was the attitude in venture capital until a few years ago. This was not the case at all for us -- we scrounged around for companies to buy. For 20 years, we didn't buy more than one or two per year.. It's fair to say that we were rooting around. There were no commissioned salesmen. Anytime you sit there waiting for a deal to come by, you're in a very dangerous seat.  It's fair to say that we were rooting around. There were no commissioned salesmen. Anytime you sit there waiting for a deal to come by, you're in a very dangerous seat.. The general assumption is that it must be easy to sit behind a desk and people will bring in one good opportunity after another -- this was the attitude in venture capital until a few years ago. This was not the case at all for us -- we scrounged around for companies to buy. For 20 years, we didn't buy more than one or two per year.  The general assumption is that it must be easy to sit behind a desk and people will bring in one good opportunity after another -- this was the attitude in venture capital until a few years ago. This was not the case at all for us -- we scrounged around for companies to buy. For 20 years, we didn't buy more than one or two per year.. It's fair to say that we were rooting around. There were no commissioned salesmen. Anytime you sit there waiting for a deal to come by, you're in a very dangerous seat.  It's fair to say that we were rooting around. There were no commissioned salesmen. Anytime you sit there waiting for a deal to come by, you're in a very dangerous seat.. The general assumption is that it must be easy to sit behind a desk and people will bring in one good opportunity after another -- this was the attitude in venture capital until a few years ago. This was not the case at all for us -- we scrounged around for companies to buy. For 20 years, we didn't buy more than one or two per year.  The general assumption is that it must be easy to sit behind a desk and people will bring in one good opportunity after another -- this was the attitude in venture capital until a few years ago. This was not the case at all for us -- we scrounged around for companies to buy. For 20 years, we didn't buy more than one or two per year.. It's fair to say that we were rooting around. There were no commissioned salesmen. Anytime you sit there waiting for a deal to come by, you're in a very dangerous seat.  It's fair to say that we were rooting around. There were no commissioned salesmen. Anytime you sit there waiting for a deal to come by, you're in a very dangerous seat.",0
9, Deal Flow?,"We don't like the term ""deal flow"" because we don't view them businesses we might buy as deals. We look at deals a few times a year. In the US, we get a pretty reasonable percentage of the calls we should get. We didn't get those calls 20-40 years ago because we weren't as well known.It feeds on itself. If we acquire companies and people say good things, we'll hear from more. We acquired one furniture company, which led to four more.It's like a snowball. By being around 38 years, it's been a high mountain and Berkshire is now a big snowball and attracts a lot of snow.Outside the US, we don't see many deals because we're not as well known.I don't hear about one deal a week or even a month. But most we want to hear about, we get a good percentage of the calls. It would be a plus if we were to see more deals outside this country.We didn't have the money to do many deals. When we bought National Indemnity, it was a big deal for us. We hope there's a lot of mountain left and a lot of wet snow.",1
