,Question,Answer,Buffett_statement
0,"So let’s start a little bit with the book, &#8220;Common Sense.&#8221; What &#8212; first of all, what motivated you working in finance to write a book about opportunity, growth and equality? It seems to be a little different than your traditional value investing or is it?","Sure. Well, I’m a capitalist. I’d like to &#8212; to work well.
An investor, in general, has a &#8212; a certain way of looking at the world. And there are a lot of problems that capitalism has led to or the way at least we implement it. And &#8212; and so there are certain things that seemed fairly reasonable to me to suggest of tweaks we can make to the way the system works now to &#8212; to make things better for everyone.
And so, you know, most people don’t write this book from the perspective of a long-term investor, and &#8212; and so that’s what I did here. And &#8212; and I hope it brings another perspective to solve some of these problems, particularly the ones that are very important to people now including inequality and opportunity.",0
1,"So let’s dive right into issues of opportunity. By page count, almost half the book &#8212; maybe even more &#8212; is about education. So let’s start &#8212; let’s start there. You &#8212; you started a not-for-profit charter school in New York City in 2006. Why did you do that? And what did you learn?","Well, sure. Well, the reason I did that is if you look at the statistics, if you are black, Hispanic, low-income in one of our major urban centers, maybe the top 50, your odds of graduating college right now were one out of 11.",0
2,"Wow, (inaudible).","We know the college graduates are 70 percent more than high school graduates. High school graduates are 30 percent more than dropouts, but that’s &#8212; that’s huge. And it’s not from lack of ability. At least that’s part of the reason that I got involved in a charter school space.
Everyone has choice. If &#8212; if you have any kind of money in our system and you don’t like the school in your neighborhood, you can move to a neighborhood with a good school or you can send your kids to a private school. If you don’t have means, you get what you get and you don’t have a choice. And the idea behind charter schools, which just to define them are publicly-funded schools run not by the district, meaning run by independent operators.
And it turns out that the charter schools in states where they have high standards of who gets to open one and who gets to keep running one &#8212; or, obviously, if they’re close if they’re not doing well, all those tend to be the states like New York, Massachusetts and California where the charter schools do well. And so the idea was to set-up a &#8212; a charter school in New York City, and it’s always OK or it’s been done before to open one school and put a lot of resources into it, make sure that it works well. And the idea behind this one was to do something replicable. And the big hairy audacious goal when we got started was to open up one school, but 40 schools.
My &#8212; my business partner John Petrie and I hired a woman, Eva Moskowitz, who was the CEO and founder of the Success Network that I’m involved with. And today we have 46 schools and 20,000 kids. And last year, according to the state test in Math and English, those 20,000 kids in all low-income neighborhoods &#8212; minority neighborhoods outperformed every wealthy district in the state, including Scarsdale, Great Neck and all the other top districts in the state. They would be the number one district. …",0
3,Wow. What’s the lesson from that? What can we learn from charter schools and bring to public schools that are underperforming?,"Well, I think the biggest lesson would be that it’s not lack of ability that the kids aren’t successful. The kids can do it. If you have high expectations, the kids can meet them. They just need the right supports.
And charters, of course, have some advantages over the district schools. They get to select their teachers and keep the ones that they think are doing a good job. They could pivot quickly to &#8212; to only do what works or to improve things that aren’t working, and they can do that very quickly.
We spent 30 percent more time in school at our charter than the district schools.",0
4,Wow.,"So that’s an advantage. And a big advantage is parents choose to come. And so it’s good to have the support of the parents, and that is an advantage.",0
5,"In your book &#8220;Common Sense,&#8221; you highlight PS 172, one of the country’s best public school. It’s run by Jack Spatola. What makes him such a special principal? Why is that public school, not a charter school, why is that succeeding so well versus the average public school in any big city?","Right. So the book, as you suggested, is not just about charters, it’s about good schools anywhere, giving good choices, right? The &#8212; the &#8212; the kids with the lowest family &#8212; the families with the lowest means don’t have a choice. So it’s how can we make their district schools better, how can we give them choice of a good &#8212; a good school choice.
And they’re certainly good district public schools, one that I highlighted. You suggest Jack &#8212; Jack Spatola is the principal &#8212; he just retired &#8212; for PS 172 in Brooklyn. But to tell you how good &#8212; a really good school can be and this is a district school, 99 percent of the kids passed the Math exam and 94 percent passed the English exam. And in most other schools, it’s below 40 percent.
But that’s not the special thing. The special thing is that that 99 percent passing Math and 94 percent passing English, what are the statistics for the students with disabilities at that school?",0
6,Wow.,"So in other words, kids without disabilities did less than half as well in the &#8212; in the regular district schools. That tells you how good that school is. The English language learners, 90 percent passed the English exam at his school, PS 172, in the regular district schools with nine percent, so 10 times better.",0
7,"What can be done with a school, like Spatola’s like PS 172, that can be ported over to regular public schools?","Of course, that’s the right question. And if you ask Jack Spatola, the principal, he would say having high expectations for every child. Just keep looking if something doesn’t work for students, find something else. If that doesn’t work, find something else and keep working, but it’s high expectations, expecting that each child, including students with disabilities, including language learners can do the job with the right supports.
So he would say that. But I would say that only one principal can be the best principal in the state. It’s probably Jack.
It’s very hard to &#8212; it would be wonderful if the average principal could be this good. And &#8212; and we strive to get there, but it hasn’t happened.
And I just point out that good charter schools, you know, with &#8212; you know that where kids &#8212; poor and minority kids outperform the wealthiest districts, and a school like Jack’s where even the kids with disabilities are crushing it point out that the kids can do it. So the 10 out of 11 who are not graduating college, it’s the &#8212; not from lack of ability. And so the question I posed in the book is what can we do for them they can do the job, they can do the job. And so that’s what I used them for.
It’s a big, big question you’re asking how do we move this, you know, Jack’s success across the districts. And &#8212; and one of the sad answers is that not everyone can be Jack Spatola. But, of course, he should be studied, and so a real question should be why isn’t what he’s done, studied even more, and it &#8212; and it’s not. So that’s a little sad.
But right now, it doesn’t look like those 10 out of 11 are being serviced. What can we do about that is what I read about in the book.",0
8,"Let’s talk about one of the solutions you write about, alternative credentials. What are they and how would they work for &#8212; for students coming from these disadvantaged neighborhoods in schools?","Yeah. So I &#8212; I call it alternative certification. So I point out the &#8212; the 10 out of 11 that the current system isn’t working for. And I &#8212; and I write in the book &#8212; you know, I want to pose this question when Tiger Woods was at the top of his game to my students at Columbia. I said, &#8220;You know, how do you beat Tiger Woods?&#8221; And my answer was, &#8220;Don’t play him in golf.&#8221; And the idea that I suggested in the book is something I called alternative certification.
And so I’ll give you an example. Let’s say you want to work in the H.R. Department at Microsoft. What I’m suggesting is Microsoft should simply specify which tests, courses or certificates in lieu of a college degree that they would consider when judging applicants for high-paying job in that particular department? So these &#8212; these things could include a simple literacy test, an online course, a certificate program or even a game-based test, and the list together with McKinsey has created game-based test that measure decision-making and critical thinking skills. So it doesn’t have to be a standard test. There’s a lot of different ways you can test for talent.
And so what I suggest in the book is that leading companies like Google, Microsoft, Amazon, J.P. Morgan, they wouldn’t have to create these tests or courses or administer them. What they would do is merely make public a list of which tests, which courses, which certificates would be considered in lieu of a college degree when selecting candidates for specific jobs, (inaudible) for passing these things.",0
9,What’s the response?,"That’s when the whole ecosystem would develop, sorry. Go ahead.",0
