,Question,Answer,Buffett_statement
0,"So I&#8217;m excited to speak to you. I very vividly remember when you can be a stock market genius came out in the late 90s and exploded, it was sort of out of left field at least to me and just was suddenly a really, really big book, but let&#8217;s go back and start early.
So I have to ask the question from &#8220;You Can Be A Stock Market Genius,&#8221; what did going to the dog track teach you about investing?","Well I wrote up in the book that you know, the only place when I was younger, I kind of like gambling, and the only place that would let us sneak in was the dog track when I was on vacation in Florida and so I used to sneak in with my cousin and we got to place bets and have a good time and you know half the fun was sneaking in.
But we figured we really had the whole dog track thing nailed when we found a dog that had run its last race in 32 seconds and all the other dogs had run it in 44 seconds and we thought wow you know we really have a great dog; we need to bet on this thing.",0
1,What where the odds?,"We had you know very high odds, it was close to 99 to 1, I think, which I think is a size that they let it go and so we thought we to clean up and of course, we lost, you know that dog had been running a shorter race that&#8217;s why it only ran 32 seconds and so you sort of really have to know something when you&#8217;re betting and then the same thing for investing, you know, if you don&#8217;t know what you&#8217;re doing, it&#8217;s an, you know as they say, an expensive place to find out.
So the dog track, I think, was a nice lesson, losing you know $2 or $4 is a very cheap lesson for us.",0
2,"So you go to school at Wharton both undergrad and graduate, how did you find your way to Wall Street? What was your first job like?","Well I got a summer job on Wall Street first with Kidder Peabody in their research department and to tell you how long ago it was, we were adjusting financial statements for inflation, which doesn&#8217;t &#8212; probably wouldn’t be a big seller right now.",0
3,"For the younger listeners, tell us what is this inflation you speak of?","Well you know when you hold your dollars and it buys less and less each year, but less and less was like 6 percent or 8 percent, not you know half a percent or 1 percent of what we&#8217;ve become used to in the last 10 years or so.",0
4,And what led you from research into the art of stock picking?,"Well, junior year, I read an article actually in Forbes Magazine about Ben Graham&#8217;s stock picking formula, and it was really what they used to call net-net or stock selling below their liquidation value and it seems very simple to me because I was at Wharton at the time and they were learning efficient market theory and none of it resonated with me.
I was kind of like I said interested in gambling or at least speculating or figuring things out and then taking a calculated gamble and what they were telling me was don&#8217;t try, there were saying that no one can beat the market and the stock prices are efficient and just through simple observation looking at the newspaper and they used to have the 52-week high low prices in the newspaper, it seemed unreasonable that you know the fair price was 51 day and eight months later, it was 120, and that was pretty much every stock had that kind of range every year and it didn&#8217;t make sense to me that the fundamentals of the underlying businesses were actually changing that much.
And so when I read Ben Graham, sort of a light bulb went off just this little article and I started reading everything I could about what he had written, both security analysis and the intelligent investor, and eventually led my way to Warren Buffett and you know, sort of the rest is history, it&#8217;s a very good age, you know I was younger than 21 at the time you know junior year of college to recognize that this was what I was going to be doing the rest my life.",0
5,"So let&#8217;s talk a little about value investing since you mentioned Graham and Buffett. Value has had a pretty rough go over the past decade, very reminiscent of a similar period of rough performance in the 90s. For those of us with a value tilt in our portfolios, explain why this is a cyclical phenomenon and not the death of value investing.","Right, well my definition of value is figure out what the business is worth and pay a lot less. It is not low price-to-book, low price sales investing which if you took a look at MorningStar, you took a look at Russell and they analyze what we do, they don&#8217;t put us in value as value investors, they put us in blend.
As Warren Buffett would say, value and growth are tied at the hip, growth is part of value, so the way that it&#8217;s traditionally done you know now and categorized is not my definition of value. So what traditionally, when people characterize these things, low price-to-book, low price sales, those are things that have correlated well in the past with the higher return, cyclically, but over time, it tends to work, because let&#8217;s say low price book, you know, something selling close to its book value, well that just means people are giving a very high value to the business itself, they&#8217;re just sort of valuing it pretty close to the cost of the assets that were placed in the business and not giving much of a premium.
So you would tend to get more than your fair share of companies that are out-of-favor meaning because they are priced low, but if you are a private equity firm, trying to buy a business, you not buying it because it&#8217;s trading close to its book value, you&#8217;re looking at cash flows and trying to project what they are going to be in the future and what are you paying relative to that and what&#8217;s it worth and it has nothing to do with low price-to-book, low price sales, it really has to do with the cash flow generating part of the business.
So, you know, it does not bother me that traditional value as defined by MorningStar, Russell, or whoever else defines it would sort of factor like attributes of individual stocks, has or has not worked.
I mean you know, here&#8217;s the big thing, the way I describe this is, look, momentum has worked well for the last 30 to 40 years, not just in this country but across the globe with one or two exceptions. The reason we don&#8217;t, we&#8217;re not momentum investors, and there is no argument about it, there has, it&#8217;s just that if it didn&#8217;t work for the next two years, it could be that it is just cyclically out-of-favor like we&#8217;re talking about and all we have to do is be patient and it works over the long term, you just have to be a patient investor.
Or it could be that it&#8217;s you know not so hard to figure out a stock used to be down here and now it&#8217;s up here and there&#8217;s plenty of data and computers and ability to crunch numbers and plus plenty of research papers that say that momentum&#8217;s worked over a period of 30-40 years and maybe if it doesn&#8217;t work over the next two years, the trade has become crowded and it&#8217;s degraded. And that&#8217;s why didn&#8217;t work over the next two years.
And two years from now, I wouldn’t know whether it&#8217;s just cyclically out-of-favor or the trades degraded, so that&#8217;s why I&#8217;m not a momentum investor. The reason I&#8217;m a value investor, according to our definition, is stocks are actually ownership shares of business that you value and try to buy at a discount, they&#8217;re not pieces of paper the bounce around that you put Sharpe ratios and Sortina ratios and use computer simulations to balance your portfolios or whatever it is.
Basically, they are ownership shares of business that you value and try to buy at a discount so it&#8217;s certainly possible that the market does not reward my valuations even if I&#8217;m right over the next two years but that doesn&#8217;t mean we&#8217;re going to stop doing what we&#8217;re doing, that&#8217;s what stocks are, ownership shares of businesses, and that&#8217;s very fundamental to the way we look at everything. And if you actually look at it in that way, you can see all of modern portfolio theory and all the way most academics and many advisers and managers look at the world just seems kind of insane when you really boil it down to ownership shares of businesses that you&#8217;re trying to value.
And then you can really sift through all the confusion that the very smart people have tried to put a lot of numbers on the investment business that don&#8217;t make a lot of sense.",0
6,"That&#8217;s absolutely fascinating. Let&#8217;s talk a little bit about Gotham Capital, you start in 1985 with about $7 million, some of it coming from Michael Milken, how did that relationship began in and why was Milken interested in investing with you?","Well the simple story is that I had a friend at Wharton who was one of the first people who was in Michael Milken&#8217;s group and I &#8212; I had been working at a hedge fund for about three years after graduating from Wharton and I had always wanted to go out on my own and I felt I was ready and I mentioned it to my friend and I said, gee if I could raise you know X dollars, I would go out on my own.
And my good friend gave me a call the next day and said Mike said fine.",0
7,Just like that. Done.,"Yeah so it wasn&#8217;t quite as easy as that you know, I had to negotiate my terms in the was actually kind of a funny story because it was my life and he did, you know, I don’t know, at the time 20 to 30 deals a day, I have no idea but it was my life and I&#8217;m not a very good negotiator at all. But when I was in the room with him, I wanted the terms that I wanted, to run the money because it was going to be my life and I only had one to give and this was one of 30 deals.
And so I wouldn&#8217;t give in and we sat in there for an hour while he kept Ronald Perelman waiting because he was about to buy Revlon, and you know I was just like a little tiny deal and I wouldn&#8217;t give in because you know, like I said, I had a bottom line which is pretty rare for me,",0
8,And he didn’t let you walk?,"He negotiated like this was the biggest deal of his life even though I knew it was just, you know, something he did &#8212; you know, with dessert at lunch one day or something and he left the room and because I wouldn’t give in and he sent his brother in.",0
9,Right.,"And you know after half hour I got the terms I wanted from his brother and then when Mike got back, he was not very happy but that&#8217;s how I got into the business and he was a good partner for me.",0
10,"That&#8217;s a great story so I have to share with our listeners your returns, you compound from 1985 to 1995 at 40 percent annually before fees &#8212;",50 percent annually before fees.,0
11,"40 percent annually after fees, no, it&#8217;s &#8212;","50, for those 10 years, it was 50 before fees.",0
12,"That&#8217;s astounding, that&#8217;s an incredible run of numbers so the first question is what&#8217;s the secret sauce, how you can &#8212; we all know the 80s and 90s were a boom time but it wasn&#8217;t 50 percent a year, what was the secret sauce for that sort of returns?","Well one of the ways to get those kind of returns is not to run a lot of money.
So after five years in business, we returned half for outside capital.",0
13,Back to investors.,Yes.,0
14,They must have been thrilled.,"Well, not thrilled, but after 10 years, returned all of it, that would make them really not thrilled, because and the other way is to be concentrated, so 6 to 8 ideas were usually 80 plus percent of our portfolio, so that portfolio management theory doesn&#8217;t like that strategy very much.",0
