,Question,Answer,Buffett_statement
0,"I think this is going to be a rare privilege for everybody. I've known Li Lu now for more than 20 years, and not only is he a great investor, but he's a great conversationalist. So why don't we just start out by talking about how your investment philosophy has changed? Because value investing is, after all, always an evolving field since you began the field, literally, I think I would say, 25 years ago, 20 years ago?",More like 28 now. Time really flies.,0
1,So how has it evolved? So how have you been influenced by people like Charlie Munger?,"Well, so before I started, I just want to first of all, thank you and all the organizers of this great conferences. Look at the way the speaker are just really unbelievable. So the quality of the student has dramatically improved since I was a student there. So thank you all for that wonderful work of putting together these great conferences. And it just really gives me such a pleasure to be on the same panel as my professor, Bruce Greenwald. In fact, I got into this field really because of Professor Greenwald's class. I think, you know, basically you got Buffett to come to speak to the students roughly 28 years ago. And it was really out of that first lecture that we got into this field. So thank you so much. And of course, later, as a business school student, I took all of the courses that Professor Greenwald offered and learned a great deal and made a lot of money, too. So thank you.
So the philosophy is relatively simple. The practice is really hard. So I wouldn't say the philosophy really evolved all that much for me. Before I got really exposed to value investing through Buffet's lecture at Bruce Greenwald's class, I think my whole approach to life was pretty much a set along similar lines. And so there was not much of a jump for me. The idea of buying something at a discount of something that is really worth more is simply intelligent. So (I would assume) that all intelligent investing involves some kind of value investing. And now the difference is, is that your focus on value evolves over time and two different individuals they tend to focus on different areas of that.
For me, when I first started as a value investor, this is now 27, 28 years ago when I bought my first stock. I didn't really know much about business. I was born and raised in China during the Cultural Revolution. There was not much of a private business or market economy back then, so I had to learn everything new. So at the beginning, obviously look for value primarily on the balance sheet in the classic style of Benjamin Graham, looking for a cigarette-butt, looking for the last puff basically. Looking for a statistically cheap businesses and ignore what the business really is. And that served me well.
Then over time, I evolved into understanding smaller businesses. Because I was just intensively curious about how business run. So much so, actually I evolved to help funding or co-created a dozen or so early-stage startup companies. And that experience has taught me a lot about how business is run, what constitutes bad or mediocre businesses. And so over time I evolved into looking for really good businesses, small maybe, but really good businesses. And then that leads me to look for good businesses in Asia, and eventually for businesses with an enduring competitive advantage with a long growth trajectory ahead of it. And so the places where we're looking for value evolves over time, but the basic philosophy I have pretty much remained the same. But it's just our core competence expanded over time.
Now, I have been very fortunate to be influenced at the very beginning by the investment giant Buffett and Munger and later on I was really, really lucky. It was just a stroke of luck that you can't even make up in fiction, that I struck a good connection with Charlie Munger and he became an investor in 2003, 2004. And we've been partners since then basically. He has been a mentor, an investor, a business partner and a great friend all these years. And for many, many years we have dinner every Tuesday night. So that's my version of Tuesday night with Charlie, every week. That lasted for years until just around a pandemic. And we talk a lot more. So obviously, I had a great deal of influence by him. But I have to say that the greatest influence from Charlie was really beyond just investment.
It was more of a role model in the way he conducted himself in real life. Now I think for every profession, for everybody, it is wonderful to have role models in life. And often the role model is among the eminent dead because it's safer. So it's pretty risky to pick a role model that's still alive. And it is always a risk of disappointing. But in my case, I got really, really lucky in the sense that my role model never failed and instead continued to inspire me, right into his 97th year, basically. And so mostly it's really based on his attitude towards life and his ability to keep equanimity in a sense, in the face of ups and downs, successes or setbacks. And I've witnessed quite a bit of them over the 17 years or so we've been working closely to maintain that rational composure, commonsensical approach to all problems in investment or life. That is extraordinarily hard, and it is a bit against our natural tendencies. And I've really watched up close and personal, how Charlie has conducted himself. And it is in that regard that he's probably the most influential person in my life. And I have been very, very lucky in that regard.",0
2,"Ok, so, in this concentration, in sort of now investing in great businesses, can you be specific about what kind of business you look for? What are the characteristics of a great business in particular, what detailed characteristics you look for and how you put a value on those businesses?","Yeah, well, great businesses are the ones who really have above average returns on invested capital. But that kind of a business traditionally attract imitators, competitors, everybody wants to have above average returns on reinvested capital. And so truly good businesses are the ones who can fend off competitors, who can really have an enduring competitive advantage and have that higher than average return on invested capital and hopefully also have a long run-rate of continuous growth. Those are the businesses we're looking for. And they could really come in all industries, in all shapes and forms. But they're rare. They're really, really rare to have a business that generates above average returns over a long time on a compounded fashion is, again is really against the natural order of things. It’s really only a small slice of all businesses (that) belong to that category.
So if you're really lucky enough to really find one of those long-term compounders, all you have to do is really to own them for the longest period of time. Now, it helps when you really buy them at the time when they happen to be traded at a discount to their intrinsic value so that if you were wrong about them, you won't lose money, and if you're right, you have more returns over time. But over the longest period of time, if you do own them through the ups and downs, your return roughly approximates basically the actual business return to actual capital invested in the business itself over the long term. The two tend to really converge pretty closely.
And so understanding and studying the nature of that business, the dynamic of the competition is of really the most important thing as the investor, and as a student of the business. And as I said, there isn't really a set of things that really made them that way. Every business really build their fortress slightly different, and you just have to really actually be honest with yourself and study them from every possible angle until you're really convinced that they are actually currently enjoying truly enduring (competitive advantages), and they truly have a long runway ahead of them. And if they prove to be exactly as you predicted over the years, we really want to stay on them through the up and down, thick and thin, not to be really dissuaded easily.",0
3,"Ok, can I actually talk a little bit about those businesses, I mean, in limiting competition and I think Charlie Munger is the master of this, we're really interested in moat's. That is the barriers to entry into the business because it's keeping people out. That's going to limit competition. If you think about a moat, there are probably only two elements to that moat. So think of it from the point of view of a company trying to get into the business.
One is economies of scale. How big do you have to get? How big a market share do you have to capture in order to be viable as a competitor? So in automobiles, in the global automobile market, it's really large. And if you have got 1-2% share, you're going to be fine. In other markets, like, for example, local distribution of caffeinated soft drinks, you've got to get to 20-25% of the market to support the infrastructure that you need to compete. So the first thing is economies of scale.
The second thing I think and again, I'm sort of thinking about Charlie Munger here, is how hard is it to get that market share? Which is all about customer captivity in a contested environment where unique technology will help you with that and so on. So suppose you've got to get to 25% share, we know for caffeinated soft drinks that two tenths of a percent share changes hands every year in a contested market. So to get to 25% you're talking about a 125-year moat.
Do you do a calculation like that for the companies you're looking at? Do you look at those two elements explicitly?","Well, that and more.",0
4,Ok. So what's the more'?,"Scale is important in there, actually, there is a scale economies in those businesses, not everything actually has a scale. Sometimes that scale becomes a counterpoint, they could actually be more difficult to really manage. But in a scale economy, scale does really become a competitive advantage. But the dynamic will change after a certain scale, you mentioned automobiles, that's an interesting example, you know what happens at different phases of the industry. The consumer side is also important in a sense that if you have quite a bit of consumer addiction to certain products and brand loyalty, obviously that is important and they're good for a long time until they're not good. Things do change. New product categories would come along, and brands get tired and old, and not refreshed. The new generations really don't like to have the same taste as their parents and grandparents. So that's really the most interesting aspect of businesses is, (the) only constant is the constant change. All great business changes over time. And (there's) absolutely no business that can really maintain that competitive edge for forever. But some of the businesses can really keep it for a very, very long time. And of course, when it changes it's really upon the management team to be able to really reallocate capital towards those businesses, (that are) actually now enjoying a robust competitive advantage.
Take example with Berkshire. It started out as a lousy business, losing business of textile in New England. And Warren and Charlie's skill is that they took the last bit of the cash flow and skillfully invested in some other businesses, really on the right side of the trajectory. But over time, some of those businesses began to lose its competitive advantage and then they took that capital and allocated to the ones that&#8230;so obviously the management capability of allocating capital also plays a very important role. And, of course, that the culture of a company in the industry that's rapidly changing so that you are always a few steps ahead of your competitors, which allows you to always (inaudible) on the edge, that also becomes enduring competitive advantage if that culture endures. So in every specific businesses, what really make them successful are very, very different and they change over time. And so that is the most fascinating aspect of the competitive dynamics and those are the most fascinating aspect of being an investor as well.",0
5,"As of today, how do you view this differently, would you say from most other investors? Are there things that you look at specifically? Are there ways that you approach companies?
Now, I'll tell you the thing that when I started investing with you, and I'm honored to say that I made a lot of money doing it, that appealed to me was what you mentioned in your introduction, which is small&#8230;markets are necessarily markets where you have to get a big share because one firm can dominate. And that's not something that most investors look at. So in what other ways do you do things differently from most other value investors and investors?","Well, you're right. You invested with me or you begin to invest in me. Thank God you're still with me. So thank you for your continued trust and confidence. No, back then we were looking for smaller businesses because those are the businesses I feel I can understand them. And as we evolve, we began to look for big businesses that we can also understand. That bigger business does come with a whole set of advantages, that if they are right in a sense, they also come in with a whole bunch of problems. And so we're not really looking at just big or medium or small. Size is one consideration, but it's not the most important, certainly not a determining factor is when we're looking for businesses. There are big businesses that because of a certain dynamic, are still growing at a robust pace that are becoming even more entrenched as they become bigger. And they still have long runs of growth. So that just exist. You know, the most recent phenomenon of the technology platform, because of the network effect, some of the business are fitting that characteristics. Now, they don't necessarily always grow forever, but they have been growing for a long, long time and likely to continue for some time. And so just the size itself is certainly not the most determining factor.",0
6,But then what other dimensions do you do things differently today than other investors who are less successful?,"If they go down 50% to 60% we buy more, so that really gives you a measure of our definition of when we understand them.",0
7,"Ok, so what about the market today? I mean, it seems highly valued. I mean, if you look at fixed income, it seems unprecedented. That said, does the market today remind you of any historical periods you lived through in good ways or bad? And would you have advice for anybody I'm having now?","Well, we usually don't study too much about the market except when they are really extreme. And this happens to be one of the more extreme periods of time. It is truly, in many ways, somewhere in unchartered territory. The amount of liquidity that's been printed, the level of interest rates, and also the slow pace of growth. All of those are quite really remarkable in this period of time. So how do you really deal with them. We don't necessarily think that history would repeat. And so every time is slightly different. Instead of guessing the patterns of history and whether they would repeat, we focus on selecting companies that can really live through the thick and thin, whatever the environment, business will continue. Somebody will do well. So we just want to really be invested in those companies who are capable of dealing with those extraordinary set of uncertainties. (Inaudible)",0
8,And how much is management a part of that. And how do you look for managements that have that capability?,"Well, in a lot of the companies, the management will make a big difference. The culture of the management will make a big difference. But in a small set of experiences, management really matters almost nothing. The strength of the business itself really has a dynamic of its own that really almost anybody can run it and run it well, relatively. Now, those businesses are really rare, not that many. You can probably put them in one hand or two hands. And so&#8230;again, I come back to the situation, each time is different. You have to really look for each specific company in specific ways and ask all kinds of probing questions and study them over a long period of time in order to really honestly say that you actually understand them. Understand them enough that you could predict the outcome in 10 years, even given all the up and downs in the macro environment.",0
9,"So you've lived through in your 23 years running Himalaya, a number of major financial crises, the Asia crisis in '97, the tech bust in 2000, the financial crisis in 2008 and actually last year, the covid-19 situation. Are there specific things you learn about managements or companies that you look for in those crises?","Yeah, well, so as you said, in my 24 years of managing Himalaya Capital, we have gone through several of those big crises. Each time when that happens, it was billed as once in a century crisis. It probably was, except it happens on the time frame of every 5 to 10 years. So a financial market boom and bust has been a constant phenomenon since the beginning of the financial market several hundred years ago. And it was driven by human nature, as long human nature remains that way, it will never change. It will always be with us. As a product of evolution, we humans are basically run not necessarily in a very rational way. Now we're very good at rationalization, but we're really not very good at being rational&#8230;In a sense, we're governed by some set of hard wired, hard coded instincts. And looking for a zero sum and we're looking for fast money, and they're really totally scared when things goes against you. So that's basic sense of greed and fear, it will always drive the financial market up and down. Particularly when it comes to money, humans are very funny. They tend to evoke a primal part of human nature. And so particularly as it relates to financial markets, a security market, money, that that human tendency of the extreme instincts become more amplified and more extreme. And that's why the financial market from the very beginning has always been characterized by boom and bust and will remain so. And how do you deal with such an environment that will be constant? One way to deal with that is to anticipate that it's always on the corner at all times. And that's basically our attitude, that financial crisis will happen all the time. People will always be driven by fear, by euphoria, by this extreme kind of ups and downs. And so we're looking for businesses that are capable of living through that and even businesses that could really thrive in that environment. In a sense, have a certain characteristic of antifragile and so that up and down becomes somewhat friendly for us. In the sense that when our favorite company is on sale discounted by 50, 60, 70 percent, if we have money, will buy more of it. If we don't have the money, it is the hallmark of a good investor, you can sit through watching your portfolio down by 50% and not being affected at all.
On the other hand, the other side of the coin is that you're equally unaffected when everybody around you are making fast money, fast and furious, a lot of them. Now you're really seemingly totally left behind. And that's really part of the temperament that most people don't have. And that's why not everybody can succeed in this game of investment. And so to succeed in this game requires a certain temperament and a certain understanding of human nature. Also a certain commonsensical approach. Knowing that your investment return eventually will mirror the actual business return by actual business. You know, in real life, real businesses don't really change by day, by hour, by week, by months. It took years for them to either go up or down. And so you should expect your investment result that come in slowly, gradually over a long period of time. So the short-term phenomena should not really impact you as much, either on the up or on the down. So if you have that basic temperament and basic approaches, what you're going to find is that most euphoria, as well as the crash, actually can serve you well. And this is really going back to Ben Graham's basic concept of Mr. Market that is there to serve you, not instruct you. Except in the real game of investment, those phenomena, those on the up and down tend to be quite extreme and testing. And so the other thing that will be very testing is that we really do need to understand the business itself. And if you really try to pretend you understand and you are really driven by something else other than deep understanding, you'll be tested. And so that's the salient nature of the of the financial market. I sometimes almost feel that they exist to really catch human weakness. That if you really don't understand something that you pretend to, you will be busted at some point. But if you truly understand, you will be able to add when the security will be down 50, 60, 70%.",0
